case_id,dimension_name,expected_passed,expected_score,labeler,notes
email-001,subject_line_length,true,1,expert,"Subject line is under threshold."
email-001,body_length,true,1,expert,"Body is concise."
email-001,has_cta,true,1,expert,"Includes get started."
email-001,clarity,true,5,expert,"Message is direct and easy to understand."
email-001,audience_fit,true,4,expert,"Reasonably fit for founder trial activation."
email-001,brand_voice,true,4,expert,"Acceptable neutral B2B tone."
email-002,subject_line_length,true,1,expert,"Subject line is under threshold."
email-002,body_length,true,1,expert,"Body is concise."
email-002,has_cta,true,1,expert,"Includes try."
email-002,clarity,true,5,expert,"Clear announcement and next step."
email-002,audience_fit,true,4,expert,"Fits marketing operators and feature adoption."
email-002,brand_voice,true,4,expert,"Acceptable neutral B2B tone."
email-003,subject_line_length,true,1,expert,"Subject line is short."
email-003,body_length,true,1,expert,"Body is concise."
email-003,has_cta,true,1,expert,"Reply is a valid CTA for winback."
email-003,clarity,true,4,expert,"Message is clear."
email-003,audience_fit,true,4,expert,"Fits busy founders."
email-003,brand_voice,true,4,expert,"Acceptable neutral B2B tone."
email-004,subject_line_length,false,0,expert,"Subject line is too long."
email-004,body_length,true,1,expert,"Body is short enough."
email-004,has_cta,false,0,expert,"No clear CTA."
email-004,clarity,false,1,expert,"Message is vague."
email-004,audience_fit,false,1,expert,"Does not speak specifically to founders or activation."
email-004,brand_voice,false,1,expert,"Too generic to be useful."
